"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2018 21:00:00 - 06/01/2018 22:00:00","BZN|CH","Without Sequence","45.18","",""
"06/01/2018 22:00:00 - 06/01/2018 23:00:00","BZN|CH","Without Sequence","45.36","",""
"06/01/2018 23:00:00 - 07/01/2018 00:00:00","BZN|CH","Without Sequence","38.03","",""
"07/01/2018 00:00:00 - 07/01/2018 01:00:00","BZN|CH","Without Sequence","25.05","",""
"07/01/2018 01:00:00 - 07/01/2018 02:00:00","BZN|CH","Without Sequence","17.89","",""
"07/01/2018 02:00:00 - 07/01/2018 03:00:00","BZN|CH","Without Sequence","17.39","",""
"07/01/2018 03:00:00 - 07/01/2018 04:00:00","BZN|CH","Without Sequence","14.43","",""
"07/01/2018 04:00:00 - 07/01/2018 05:00:00","BZN|CH","Without Sequence","14.45","",""
"07/01/2018 05:00:00 - 07/01/2018 06:00:00","BZN|CH","Without Sequence","31.15","",""
"07/01/2018 06:00:00 - 07/01/2018 07:00:00","BZN|CH","Without Sequence","30.85","",""
"07/01/2018 07:00:00 - 07/01/2018 08:00:00","BZN|CH","Without Sequence","16.50","",""
"07/01/2018 08:00:00 - 07/01/2018 09:00:00","BZN|CH","Without Sequence","25.14","",""
"07/01/2018 09:00:00 - 07/01/2018 10:00:00","BZN|CH","Without Sequence","23.91","",""
"07/01/2018 10:00:00 - 07/01/2018 11:00:00","BZN|CH","Without Sequence","22.54","",""
"07/01/2018 11:00:00 - 07/01/2018 12:00:00","BZN|CH","Without Sequence","24.15","",""
"07/01/2018 12:00:00 - 07/01/2018 13:00:00","BZN|CH","Without Sequence","23.69","",""
"07/01/2018 13:00:00 - 07/01/2018 14:00:00","BZN|CH","Without Sequence","23.02","",""
"07/01/2018 14:00:00 - 07/01/2018 15:00:00","BZN|CH","Without Sequence","20.66","",""
"07/01/2018 15:00:00 - 07/01/2018 16:00:00","BZN|CH","Without Sequence","20.30","",""
"07/01/2018 16:00:00 - 07/01/2018 17:00:00","BZN|CH","Without Sequence","24.15","",""
"07/01/2018 17:00:00 - 07/01/2018 18:00:00","BZN|CH","Without Sequence","32.27","",""
"07/01/2018 18:00:00 - 07/01/2018 19:00:00","BZN|CH","Without Sequence","46.39","",""
"07/01/2018 19:00:00 - 07/01/2018 20:00:00","BZN|CH","Without Sequence","46.92","",""
"07/01/2018 20:00:00 - 07/01/2018 21:00:00","BZN|CH","Without Sequence","45.45","",""
"07/01/2018 21:00:00 - 07/01/2018 22:00:00","BZN|CH","Without Sequence","42.58","",""
"07/01/2018 22:00:00 - 07/01/2018 23:00:00","BZN|CH","Without Sequence","45.05","",""
"07/01/2018 23:00:00 - 08/01/2018 00:00:00","BZN|CH","Without Sequence","33.30","",""
"08/01/2018 00:00:00 - 08/01/2018 01:00:00","BZN|CH","Without Sequence","21.95","",""
"08/01/2018 01:00:00 - 08/01/2018 02:00:00","BZN|CH","Without Sequence","19.67","",""
"08/01/2018 02:00:00 - 08/01/2018 03:00:00","BZN|CH","Without Sequence","19.63","",""
"08/01/2018 03:00:00 - 08/01/2018 04:00:00","BZN|CH","Without Sequence","19.30","",""
"08/01/2018 04:00:00 - 08/01/2018 05:00:00","BZN|CH","Without Sequence","26.67","",""
"08/01/2018 05:00:00 - 08/01/2018 06:00:00","BZN|CH","Without Sequence","31.38","",""
"08/01/2018 06:00:00 - 08/01/2018 07:00:00","BZN|CH","Without Sequence","46.38","",""
"08/01/2018 07:00:00 - 08/01/2018 08:00:00","BZN|CH","Without Sequence","54.98","",""
"08/01/2018 08:00:00 - 08/01/2018 09:00:00","BZN|CH","Without Sequence","55.18","",""
"08/01/2018 09:00:00 - 08/01/2018 10:00:00","BZN|CH","Without Sequence","55.18","",""
"08/01/2018 10:00:00 - 08/01/2018 11:00:00","BZN|CH","Without Sequence","55.87","",""
"08/01/2018 11:00:00 - 08/01/2018 12:00:00","BZN|CH","Without Sequence","55.14","",""
"08/01/2018 12:00:00 - 08/01/2018 13:00:00","BZN|CH","Without Sequence","55.04","",""
"08/01/2018 13:00:00 - 08/01/2018 14:00:00","BZN|CH","Without Sequence","55.08","",""
"08/01/2018 14:00:00 - 08/01/2018 15:00:00","BZN|CH","Without Sequence","55.02","",""
"08/01/2018 15:00:00 - 08/01/2018 16:00:00","BZN|CH","Without Sequence","55.96","",""
"08/01/2018 16:00:00 - 08/01/2018 17:00:00","BZN|CH","Without Sequence","55.48","",""
"08/01/2018 17:00:00 - 08/01/2018 18:00:00","BZN|CH","Without Sequence","55.74","",""
"08/01/2018 18:00:00 - 08/01/2018 19:00:00","BZN|CH","Without Sequence","55.93","",""
"08/01/2018 19:00:00 - 08/01/2018 20:00:00","BZN|CH","Without Sequence","55.90","",""
"08/01/2018 20:00:00 - 08/01/2018 21:00:00","BZN|CH","Without Sequence","55.72","",""
"08/01/2018 21:00:00 - 08/01/2018 22:00:00","BZN|CH","Without Sequence","53.46","",""
"08/01/2018 22:00:00 - 08/01/2018 23:00:00","BZN|CH","Without Sequence","50.48","",""
"08/01/2018 23:00:00 - 09/01/2018 00:00:00","BZN|CH","Without Sequence","46.29","",""
"09/01/2018 00:00:00 - 09/01/2018 01:00:00","BZN|CH","Without Sequence","41.33","",""
"09/01/2018 01:00:00 - 09/01/2018 02:00:00","BZN|CH","Without Sequence","36.93","",""
"09/01/2018 02:00:00 - 09/01/2018 03:00:00","BZN|CH","Without Sequence","31.64","",""
"09/01/2018 03:00:00 - 09/01/2018 04:00:00","BZN|CH","Without Sequence","30.42","",""
"09/01/2018 04:00:00 - 09/01/2018 05:00:00","BZN|CH","Without Sequence","31.02","",""
"09/01/2018 05:00:00 - 09/01/2018 06:00:00","BZN|CH","Without Sequence","39.03","",""
"09/01/2018 06:00:00 - 09/01/2018 07:00:00","BZN|CH","Without Sequence","50.08","",""
"09/01/2018 07:00:00 - 09/01/2018 08:00:00","BZN|CH","Without Sequence","54.09","",""
"09/01/2018 08:00:00 - 09/01/2018 09:00:00","BZN|CH","Without Sequence","56.08","",""
"09/01/2018 09:00:00 - 09/01/2018 10:00:00","BZN|CH","Without Sequence","56.13","",""
"09/01/2018 10:00:00 - 09/01/2018 11:00:00","BZN|CH","Without Sequence","55.94","",""
"09/01/2018 11:00:00 - 09/01/2018 12:00:00","BZN|CH","Without Sequence","56.08","",""
"09/01/2018 12:00:00 - 09/01/2018 13:00:00","BZN|CH","Without Sequence","53.87","",""
"09/01/2018 13:00:00 - 09/01/2018 14:00:00","BZN|CH","Without Sequence","53.30","",""
"09/01/2018 14:00:00 - 09/01/2018 15:00:00","BZN|CH","Without Sequence","54.44","",""
"09/01/2018 15:00:00 - 09/01/2018 16:00:00","BZN|CH","Without Sequence","54.57","",""
"09/01/2018 16:00:00 - 09/01/2018 17:00:00","BZN|CH","Without Sequence","54.56","",""
"09/01/2018 17:00:00 - 09/01/2018 18:00:00","BZN|CH","Without Sequence","54.75","",""
"09/01/2018 18:00:00 - 09/01/2018 19:00:00","BZN|CH","Without Sequence","53.89","",""
"09/01/2018 19:00:00 - 09/01/2018 20:00:00","BZN|CH","Without Sequence","52.48","",""
"09/01/2018 20:00:00 - 09/01/2018 21:00:00","BZN|CH","Without Sequence","50.51","",""
"09/01/2018 21:00:00 - 09/01/2018 22:00:00","BZN|CH","Without Sequence","52.01","",""
