"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2022 02:00:00 - 08/01/2022 03:00:00","BZN|NL","Without Sequence","166.00","",""
"08/01/2022 03:00:00 - 08/01/2022 04:00:00","BZN|NL","Without Sequence","162.38","",""
"08/01/2022 04:00:00 - 08/01/2022 05:00:00","BZN|NL","Without Sequence","160.00","",""
"08/01/2022 05:00:00 - 08/01/2022 06:00:00","BZN|NL","Without Sequence","154.30","",""
"08/01/2022 06:00:00 - 08/01/2022 07:00:00","BZN|NL","Without Sequence","166.00","",""
"08/01/2022 07:00:00 - 08/01/2022 08:00:00","BZN|NL","Without Sequence","182.91","",""
"08/01/2022 08:00:00 - 08/01/2022 09:00:00","BZN|NL","Without Sequence","215.89","",""
"08/01/2022 09:00:00 - 08/01/2022 10:00:00","BZN|NL","Without Sequence","231.00","",""
"08/01/2022 10:00:00 - 08/01/2022 11:00:00","BZN|NL","Without Sequence","228.95","",""
"08/01/2022 11:00:00 - 08/01/2022 12:00:00","BZN|NL","Without Sequence","215.39","",""
"08/01/2022 12:00:00 - 08/01/2022 13:00:00","BZN|NL","Without Sequence","206.68","",""
"08/01/2022 13:00:00 - 08/01/2022 14:00:00","BZN|NL","Without Sequence","185.00","",""
"08/01/2022 14:00:00 - 08/01/2022 15:00:00","BZN|NL","Without Sequence","169.52","",""
"08/01/2022 15:00:00 - 08/01/2022 16:00:00","BZN|NL","Without Sequence","162.80","",""
"08/01/2022 16:00:00 - 08/01/2022 17:00:00","BZN|NL","Without Sequence","161.90","",""
"08/01/2022 17:00:00 - 08/01/2022 18:00:00","BZN|NL","Without Sequence","189.90","",""
"08/01/2022 18:00:00 - 08/01/2022 19:00:00","BZN|NL","Without Sequence","200.30","",""
"08/01/2022 19:00:00 - 08/01/2022 20:00:00","BZN|NL","Without Sequence","200.00","",""
"08/01/2022 20:00:00 - 08/01/2022 21:00:00","BZN|NL","Without Sequence","232.00","",""
"08/01/2022 21:00:00 - 08/01/2022 22:00:00","BZN|NL","Without Sequence","165.75","",""
"08/01/2022 22:00:00 - 08/01/2022 23:00:00","BZN|NL","Without Sequence","149.61","",""
"08/01/2022 23:00:00 - 09/01/2022 00:00:00","BZN|NL","Without Sequence","149.60","",""
"09/01/2022 00:00:00 - 09/01/2022 01:00:00","BZN|NL","Without Sequence","141.32","",""
"09/01/2022 01:00:00 - 09/01/2022 02:00:00","BZN|NL","Without Sequence","100.00","",""
"09/01/2022 02:00:00 - 09/01/2022 03:00:00","BZN|NL","Without Sequence","80.24","",""
"09/01/2022 03:00:00 - 09/01/2022 04:00:00","BZN|NL","Without Sequence","55.46","",""
"09/01/2022 04:00:00 - 09/01/2022 05:00:00","BZN|NL","Without Sequence","49.29","",""
"09/01/2022 05:00:00 - 09/01/2022 06:00:00","BZN|NL","Without Sequence","50.64","",""
"09/01/2022 06:00:00 - 09/01/2022 07:00:00","BZN|NL","Without Sequence","74.29","",""
"09/01/2022 07:00:00 - 09/01/2022 08:00:00","BZN|NL","Without Sequence","87.00","",""
"09/01/2022 08:00:00 - 09/01/2022 09:00:00","BZN|NL","Without Sequence","99.94","",""
"09/01/2022 09:00:00 - 09/01/2022 10:00:00","BZN|NL","Without Sequence","185.20","",""
"09/01/2022 10:00:00 - 09/01/2022 11:00:00","BZN|NL","Without Sequence","163.00","",""
"09/01/2022 11:00:00 - 09/01/2022 12:00:00","BZN|NL","Without Sequence","149.65","",""
"09/01/2022 12:00:00 - 09/01/2022 13:00:00","BZN|NL","Without Sequence","166.70","",""
"09/01/2022 13:00:00 - 09/01/2022 14:00:00","BZN|NL","Without Sequence","165.06","",""
"09/01/2022 14:00:00 - 09/01/2022 15:00:00","BZN|NL","Without Sequence","170.09","",""
"09/01/2022 15:00:00 - 09/01/2022 16:00:00","BZN|NL","Without Sequence","189.04","",""
"09/01/2022 16:00:00 - 09/01/2022 17:00:00","BZN|NL","Without Sequence","190.96","",""
"09/01/2022 17:00:00 - 09/01/2022 18:00:00","BZN|NL","Without Sequence","223.30","",""
"09/01/2022 18:00:00 - 09/01/2022 19:00:00","BZN|NL","Without Sequence","243.94","",""
"09/01/2022 19:00:00 - 09/01/2022 20:00:00","BZN|NL","Without Sequence","240.00","",""
"09/01/2022 20:00:00 - 09/01/2022 21:00:00","BZN|NL","Without Sequence","230.82","",""
"09/01/2022 21:00:00 - 09/01/2022 22:00:00","BZN|NL","Without Sequence","214.02","",""
"09/01/2022 22:00:00 - 09/01/2022 23:00:00","BZN|NL","Without Sequence","215.88","",""
"09/01/2022 23:00:00 - 10/01/2022 00:00:00","BZN|NL","Without Sequence","203.80","",""
"10/01/2022 00:00:00 - 10/01/2022 01:00:00","BZN|NL","Without Sequence","196.23","",""
"10/01/2022 01:00:00 - 10/01/2022 02:00:00","BZN|NL","Without Sequence","191.85","",""
"10/01/2022 02:00:00 - 10/01/2022 03:00:00","BZN|NL","Without Sequence","195.91","",""
"10/01/2022 03:00:00 - 10/01/2022 04:00:00","BZN|NL","Without Sequence","186.66","",""
"10/01/2022 04:00:00 - 10/01/2022 05:00:00","BZN|NL","Without Sequence","178.04","",""
"10/01/2022 05:00:00 - 10/01/2022 06:00:00","BZN|NL","Without Sequence","191.65","",""
"10/01/2022 06:00:00 - 10/01/2022 07:00:00","BZN|NL","Without Sequence","237.44","",""
"10/01/2022 07:00:00 - 10/01/2022 08:00:00","BZN|NL","Without Sequence","299.95","",""
"10/01/2022 08:00:00 - 10/01/2022 09:00:00","BZN|NL","Without Sequence","313.92","",""
"10/01/2022 09:00:00 - 10/01/2022 10:00:00","BZN|NL","Without Sequence","315.00","",""
"10/01/2022 10:00:00 - 10/01/2022 11:00:00","BZN|NL","Without Sequence","310.41","",""
"10/01/2022 11:00:00 - 10/01/2022 12:00:00","BZN|NL","Without Sequence","310.08","",""
"10/01/2022 12:00:00 - 10/01/2022 13:00:00","BZN|NL","Without Sequence","300.00","",""
"10/01/2022 13:00:00 - 10/01/2022 14:00:00","BZN|NL","Without Sequence","297.01","",""
"10/01/2022 14:00:00 - 10/01/2022 15:00:00","BZN|NL","Without Sequence","299.96","",""
"10/01/2022 15:00:00 - 10/01/2022 16:00:00","BZN|NL","Without Sequence","291.30","",""
"10/01/2022 16:00:00 - 10/01/2022 17:00:00","BZN|NL","Without Sequence","301.22","",""
"10/01/2022 17:00:00 - 10/01/2022 18:00:00","BZN|NL","Without Sequence","309.90","",""
"10/01/2022 18:00:00 - 10/01/2022 19:00:00","BZN|NL","Without Sequence","310.82","",""
"10/01/2022 19:00:00 - 10/01/2022 20:00:00","BZN|NL","Without Sequence","294.98","",""
"10/01/2022 20:00:00 - 10/01/2022 21:00:00","BZN|NL","Without Sequence","267.45","",""
"10/01/2022 21:00:00 - 10/01/2022 22:00:00","BZN|NL","Without Sequence","211.00","",""
"10/01/2022 22:00:00 - 10/01/2022 23:00:00","BZN|NL","Without Sequence","217.03","",""
"10/01/2022 23:00:00 - 11/01/2022 00:00:00","BZN|NL","Without Sequence","190.90","",""
